site_id	Lon	Lat
100000131	-0.586042568	48.44532103
100000132	-0.639079174	48.42967339
100000133	-0.631689848	47.31624097
100000134	-1.211743378	47.0973181
100000135	-1.482076532	47.46519272
100000136	-1.6023788	47.0367161
100000137	-1.799471509	46.98343746
100000138	-1.663462982	46.69036156
100000139	-1.72072657	46.5793249
100000140	-0.660416527	46.63088898
100000141	-2.114297091	48.30289875
100000142	-2.568496193	48.48464442
100000143	-3.069095621	48.70611773
100000144	-3.146244203	48.63173269
100000145	-3.244417111	48.78745351
100000146	-3.423006157	48.69508051
100000147	-3.83696845	48.5663615
100000148	-4.389513663	48.54995611
100000149	-4.000326649	48.38452369
100000150	-4.21568751	48.4693004
100000151	-3.710439332	48.25424099
100000152	-3.563029763	48.29128446
100000153	-4.063663173	48.00585592
100000154	-3.617936038	47.92808622
100000155	-3.469043297	47.90416047
100000156	-3.419372553	47.90553949
100000157	-2.990181954	47.72170168
100000158	-1.060860091	48.18663769
100000159	-1.714136955	47.8986461
100000160	-1.412643204	47.71819587
100000161	-1.785735936	47.69962099
100000162	0.840509619	45.71817236
100000163	0.621259083	45.53410631
100000164	-0.131520297	45.04043212
100000165	0.289430831	45.2703454
100000166	0.722462774	45.47133947
100000167	0.246702472	45.02976465
100000168	0.593129465	45.17203451
100000169	1.307567165	45.42868271
100000170	0.951272967	45.34794396
100000171	0.332785047	44.83965925
100000172	0.926906552	44.91759905
100000173	1.11829869	45.02058358
100000174	1.190521025	45.08540681
100000175	1.230582879	45.11878473
100000176	1.307493413	45.12982539
100000177	1.461025971	45.1669742
100000178	1.569566209	45.17238306
100000179	1.797320586	45.30175271
100000180	1.437832758	45.21791403
100000181	1.45130385	45.21765332
100000182	1.956214623	45.61185522
100000183	1.204675809	44.8059558
100000184	1.223333678	44.82777021
100000185	1.360121212	44.86638599
100000186	1.786837672	44.89370162
100000187	2.350296458	44.88196538
100000188	2.523555819	44.97655109
100000189	2.615113255	44.9656012
100000190	1.939497597	45.07155848
100000191	2.328808275	45.51228309
100000192	2.486760641	45.38090192
100000193	-0.71048513	44.88849306
100000194	-0.34274335	44.41052372
100000195	0.579359162	44.67350333
100000196	0.125690939	44.46717953
100000197	0.103368133	44.34308338
100000198	1.657800161	44.50774381
100000199	3.323728571	44.76585439
100000200	3.386015655	44.70328743
100000201	3.198568798	44.44261395
100000202	3.456551805	44.48079291
100000203	3.634402821	44.51901265
100000204	3.496218392	44.33293168
100000205	-0.996206422	44.62630014
100000206	-0.432599598	43.11349164
100000207	-0.824225143	43.48994804
100000208	-0.684934683	43.45123755
100000209	-0.624063734	43.40397733
100000210	-0.453252762	43.31881565
100000211	-0.307912758	43.24416001
100000212	-0.451711332	43.94228904
100000213	-0.323895418	44.0347906
100000214	-0.556120666	43.71663538
100000215	6.101967985	48.09014302
100000216	5.996199283	47.91708134
100000217	5.917184228	47.84081071
100000218	6.075915163	47.74594677
100000219	6.032916355	47.63592215
100000220	5.691587732	47.54328507
100000221	6.708457254	47.83067933
100000222	5.5497338	47.28807166
100000223	5.299950587	47.17849074
100000224	5.179564402	47.13408445
100000225	6.384711642	46.94644282
100000226	6.640367004	47.04736596
100000227	6.951480666	47.26210336
100000228	6.810987565	47.31755395
100000229	6.791701012	47.45211017
100000230	6.846065581	47.47170062
